dyear,daily_fare,daily_miles,var,group,year
2011-02-07,3249367.588800084,585679.3300000057,paytype,Cash,2011
2011-02-08,3367337.875200115,626358.8399999873,paytype,Credit,2011
2011-02-08,3448033.3440000946,596620.7199999996,paytype,Cash,2011
2011-02-09,3657362.760000056,672500.9799999917,paytype,Credit,2011
2011-02-09,3659037.840000172,627827.1700000052,paytype,Cash,2011
2011-02-10,3868611.595200055,712400.2300000042,paytype,Credit,2011
2011-02-10,3892978.6704001604,672175.1099999872,paytype,Cash,2011
2011-02-11,3890737.7280000485,718626.6900000097,paytype,Credit,2011
2011-02-11,4277850.23520015,745764.2999999814,paytype,Cash,2011
2011-02-12,3615924.4848001143,672894.8099999939,paytype,Credit,2011
2011-02-12,4697237.361600232,841449.7099999895,paytype,Cash,2011
2011-02-13,3233723.1983999857,642807.5799999998,paytype,Credit,2011
2011-02-13,3948893.265600285,757645.9399999976,paytype,Cash,2011
2011-02-14,3272058.489600068,620118.6599999873,paytype,Credit,2011
2011-02-14,3705467.8464000924,659942.440000007,paytype,Cash,2011
2011-02-15,3616085.016000104,681987.3900000063,paytype,Credit,2011
2011-02-15,3844555.8480002154,678690.1399999994,paytype,Cash,2011
2011-02-16,3636175.334400097,689740.8899999949,paytype,Credit,2011
2011-02-16,3701587.0896000746,659245.6800000108,paytype,Cash,2011
2011-02-17,3709829.865600127,710960.3199999945,paytype,Credit,2011
2011-02-17,3819194.0208000713,690292.8699999958,paytype,Cash,2011
2011-02-18,3701090.6927999337,702877.5800000017,paytype,Credit,2011
2011-02-18,4218942.571200204,758429.9900000079,paytype,Cash,2011
2011-02-19,3241648.094399982,619337.4500000051,paytype,Credit,2011
2011-02-19,4583203.992000274,838846.110000018,paytype,Cash,2011
2011-02-20,2894469.019200042,576021.3000000017,paytype,Credit,2011
2011-02-20,3928254.537600236,753358.1399999971,paytype,Cash,2011
2011-02-21,2655953.596799968,548063.6799999923,paytype,Credit,2011
2011-02-21,3170109.110400105,619251.9899999927,paytype,Cash,2011
2011-02-22,3271763.217600069,630402.939999988,paytype,Credit,2011
2011-02-22,3575645.2656001532,643372.6299999829,paytype,Cash,2011
2011-02-23,3408797.6064000903,645877.1499999984,paytype,Credit,2011
2011-02-23,3729658.6800001133,663905.4200000006,paytype,Cash,2011
2011-02-24,3595199.9040000555,684749.7700000035,paytype,Credit,2011
